ID	Individual	EXPERIMENT	RUN	FASTQ_URI	Factor_Value_disease	Factor_Value_cell_type
HP1502401_O10	HP1502401	ERX1700772	ERR1630439	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630439/ERR1630439.fastq.gz	normal	ductal cell
HP1502401_O14	HP1502401	ERX1700775	ERR1630442	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630442/ERR1630442.fastq.gz	normal	acinar cell
HP1502401_O16	HP1502401	ERX1700777	ERR1630444	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630444/ERR1630444.fastq.gz	normal	beta cell
HP1502401_O17	HP1502401	ERX1700778	ERR1630445	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630445/ERR1630445.fastq.gz	normal	alpha cell
HP1502401_O18	HP1502401	ERX1700779	ERR1630446	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630446/ERR1630446.fastq.gz	normal	delta cell
HP1502401_O2	HP1502401	ERX1700781	ERR1630448	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630448/ERR1630448.fastq.gz	normal	alpha cell
HP1502401_O20	HP1502401	ERX1700782	ERR1630449	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630449/ERR1630449.fastq.gz	normal	alpha cell
HP1502401_O21	HP1502401	ERX1700783	ERR1630450	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630450/ERR1630450.fastq.gz	normal	alpha cell
HP1502401_O22	HP1502401	ERX1700784	ERR1630451	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630451/ERR1630451.fastq.gz	normal	alpha cell
HP1502401_O23	HP1502401	ERX1700785	ERR1630452	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630452/ERR1630452.fastq.gz	normal	alpha cell
HP1502401_O24	HP1502401	ERX1700786	ERR1630453	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630453/ERR1630453.fastq.gz	normal	alpha cell
HP1502401_O3	HP1502401	ERX1700787	ERR1630454	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630454/ERR1630454.fastq.gz	normal	alpha cell
HP1502401_O4	HP1502401	ERX1700788	ERR1630455	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630455/ERR1630455.fastq.gz	normal	alpha cell
HP1502401_O6	HP1502401	ERX1700790	ERR1630457	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630457/ERR1630457.fastq.gz	normal	delta cell
HP1502401_O7	HP1502401	ERX1700791	ERR1630458	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630458/ERR1630458.fastq.gz	normal	co-expression cell
HP1502401_O8	HP1502401	ERX1700792	ERR1630459	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630459/ERR1630459.fastq.gz	normal	alpha cell
HP1502401_O9	HP1502401	ERX1700793	ERR1630460	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630460/ERR1630460.fastq.gz	normal	mast cell
HP1504101T2D_A1	HP1504101T2D	ERX1700794	ERR1630461	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630461/ERR1630461.fastq.gz	type II diabetes mellitus	not applicable
HP1504101T2D_A10	HP1504101T2D	ERX1700795	ERR1630462	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630462/ERR1630462.fastq.gz	type II diabetes mellitus	acinar cell
HP1504101T2D_A12	HP1504101T2D	ERX1700797	ERR1630464	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630464/ERR1630464.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_A13	HP1504101T2D	ERX1700798	ERR1630465	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630465/ERR1630465.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_A15	HP1504101T2D	ERX1700800	ERR1630467	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630467/ERR1630467.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_A17	HP1504101T2D	ERX1700802	ERR1630469	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630469/ERR1630469.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_A18	HP1504101T2D	ERX1700803	ERR1630470	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630470/ERR1630470.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_A19	HP1504101T2D	ERX1700804	ERR1630471	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630471/ERR1630471.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_A20	HP1504101T2D	ERX1700806	ERR1630473	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630473/ERR1630473.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_A23	HP1504101T2D	ERX1700809	ERR1630476	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630476/ERR1630476.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_A24	HP1504101T2D	ERX1700810	ERR1630477	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630477/ERR1630477.fastq.gz	type II diabetes mellitus	delta cell
HP1504101T2D_A4	HP1504101T2D	ERX1700812	ERR1630479	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630479/ERR1630479.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_A5	HP1504101T2D	ERX1700813	ERR1630480	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630480/ERR1630480.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_A6	HP1504101T2D	ERX1700814	ERR1630481	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630481/ERR1630481.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_A8	HP1504101T2D	ERX1700816	ERR1630483	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630483/ERR1630483.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_B10	HP1504101T2D	ERX1700819	ERR1630486	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630486/ERR1630486.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B11	HP1504101T2D	ERX1700820	ERR1630487	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630487/ERR1630487.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_B12	HP1504101T2D	ERX1700821	ERR1630488	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630488/ERR1630488.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B13	HP1504101T2D	ERX1700822	ERR1630489	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630489/ERR1630489.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_B16	HP1504101T2D	ERX1700825	ERR1630492	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630492/ERR1630492.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_B17	HP1504101T2D	ERX1700826	ERR1630493	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630493/ERR1630493.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B18	HP1504101T2D	ERX1700827	ERR1630494	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630494/ERR1630494.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B2	HP1504101T2D	ERX1700829	ERR1630496	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630496/ERR1630496.fastq.gz	type II diabetes mellitus	not applicable
HP1504101T2D_B21	HP1504101T2D	ERX1700831	ERR1630498	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630498/ERR1630498.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_B22	HP1504101T2D	ERX1700832	ERR1630499	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630499/ERR1630499.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B24	HP1504101T2D	ERX1700834	ERR1630501	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630501/ERR1630501.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B3	HP1504101T2D	ERX1700835	ERR1630502	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630502/ERR1630502.fastq.gz	type II diabetes mellitus	unclassified endocrine cell
HP1504101T2D_B4	HP1504101T2D	ERX1700836	ERR1630503	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630503/ERR1630503.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B5	HP1504101T2D	ERX1700837	ERR1630504	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630504/ERR1630504.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_B6	HP1504101T2D	ERX1700838	ERR1630505	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630505/ERR1630505.fastq.gz	type II diabetes mellitus	beta cell
HP1504101T2D_B7	HP1504101T2D	ERX1700839	ERR1630506	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630506/ERR1630506.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_B8	HP1504101T2D	ERX1700840	ERR1630507	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630507/ERR1630507.fastq.gz	type II diabetes mellitus	ductal cell
HP1504101T2D_C1	HP1504101T2D	ERX1700842	ERR1630509	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630509/ERR1630509.fastq.gz	type II diabetes mellitus	endothelial cell
HP1504101T2D_C10	HP1504101T2D	ERX1700843	ERR1630510	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630510/ERR1630510.fastq.gz	type II diabetes mellitus	delta cell
HP1504101T2D_C11	HP1504101T2D	ERX1700844	ERR1630511	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630511/ERR1630511.fastq.gz	type II diabetes mellitus	acinar cell
HP1504101T2D_C12	HP1504101T2D	ERX1700845	ERR1630512	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630512/ERR1630512.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_C14	HP1504101T2D	ERX1700847	ERR1630514	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630514/ERR1630514.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_C15	HP1504101T2D	ERX1700848	ERR1630515	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630515/ERR1630515.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_C16	HP1504101T2D	ERX1700849	ERR1630516	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630516/ERR1630516.fastq.gz	type II diabetes mellitus	co-expression cell
HP1504101T2D_C17	HP1504101T2D	ERX1700850	ERR1630517	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630517/ERR1630517.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_C18	HP1504101T2D	ERX1700851	ERR1630518	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630518/ERR1630518.fastq.gz	type II diabetes mellitus	beta cell
HP1504101T2D_C20	HP1504101T2D	ERX1700854	ERR1630521	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630521/ERR1630521.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_C21	HP1504101T2D	ERX1700855	ERR1630522	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630522/ERR1630522.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_C22	HP1504101T2D	ERX1700856	ERR1630523	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630523/ERR1630523.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_C3	HP1504101T2D	ERX1700859	ERR1630526	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630526/ERR1630526.fastq.gz	type II diabetes mellitus	not applicable
HP1504101T2D_C4	HP1504101T2D	ERX1700860	ERR1630527	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630527/ERR1630527.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_C9	HP1504101T2D	ERX1700865	ERR1630532	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630532/ERR1630532.fastq.gz	type II diabetes mellitus	delta cell
HP1504101T2D_D1	HP1504101T2D	ERX1700866	ERR1630533	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630533/ERR1630533.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D11	HP1504101T2D	ERX1700868	ERR1630535	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630535/ERR1630535.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D12	HP1504101T2D	ERX1700869	ERR1630536	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630536/ERR1630536.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D13	HP1504101T2D	ERX1700870	ERR1630537	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630537/ERR1630537.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D15	HP1504101T2D	ERX1700872	ERR1630539	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630539/ERR1630539.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D17	HP1504101T2D	ERX1700874	ERR1630541	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630541/ERR1630541.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D18	HP1504101T2D	ERX1700875	ERR1630542	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630542/ERR1630542.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D19	HP1504101T2D	ERX1700876	ERR1630543	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630543/ERR1630543.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D2	HP1504101T2D	ERX1700877	ERR1630544	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630544/ERR1630544.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D21	HP1504101T2D	ERX1700879	ERR1630546	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630546/ERR1630546.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D23	HP1504101T2D	ERX1700881	ERR1630548	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630548/ERR1630548.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D24	HP1504101T2D	ERX1700882	ERR1630549	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630549/ERR1630549.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_D4	HP1504101T2D	ERX1700884	ERR1630551	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630551/ERR1630551.fastq.gz	type II diabetes mellitus	not applicable
HP1504101T2D_D5	HP1504101T2D	ERX1700885	ERR1630552	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630552/ERR1630552.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D6	HP1504101T2D	ERX1700886	ERR1630553	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630553/ERR1630553.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D7	HP1504101T2D	ERX1700887	ERR1630554	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630554/ERR1630554.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_D8	HP1504101T2D	ERX1700888	ERR1630555	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630555/ERR1630555.fastq.gz	type II diabetes mellitus	unclassified endocrine cell
HP1504101T2D_D9	HP1504101T2D	ERX1700889	ERR1630556	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630556/ERR1630556.fastq.gz	type II diabetes mellitus	beta cell
HP1504101T2D_E1	HP1504101T2D	ERX1700890	ERR1630557	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630557/ERR1630557.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E10	HP1504101T2D	ERX1700891	ERR1630558	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630558/ERR1630558.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E11	HP1504101T2D	ERX1700892	ERR1630559	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630559/ERR1630559.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E14	HP1504101T2D	ERX1700895	ERR1630562	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630562/ERR1630562.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E15	HP1504101T2D	ERX1700896	ERR1630563	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630563/ERR1630563.fastq.gz	type II diabetes mellitus	beta cell
HP1504101T2D_E16	HP1504101T2D	ERX1700897	ERR1630564	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630564/ERR1630564.fastq.gz	type II diabetes mellitus	beta cell
HP1504101T2D_E18	HP1504101T2D	ERX1700899	ERR1630566	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630566/ERR1630566.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E19	HP1504101T2D	ERX1700900	ERR1630567	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630567/ERR1630567.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E20	HP1504101T2D	ERX1700902	ERR1630569	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630569/ERR1630569.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E21	HP1504101T2D	ERX1700903	ERR1630570	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630570/ERR1630570.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E22	HP1504101T2D	ERX1700904	ERR1630571	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630571/ERR1630571.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E23	HP1504101T2D	ERX1700905	ERR1630572	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630572/ERR1630572.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E24	HP1504101T2D	ERX1700906	ERR1630573	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630573/ERR1630573.fastq.gz	type II diabetes mellitus	beta cell
HP1504101T2D_E3	HP1504101T2D	ERX1700907	ERR1630574	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630574/ERR1630574.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E4	HP1504101T2D	ERX1700908	ERR1630575	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630575/ERR1630575.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E5	HP1504101T2D	ERX1700909	ERR1630576	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630576/ERR1630576.fastq.gz	type II diabetes mellitus	not applicable
HP1504101T2D_E6	HP1504101T2D	ERX1700910	ERR1630577	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630577/ERR1630577.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_E7	HP1504101T2D	ERX1700911	ERR1630578	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630578/ERR1630578.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E8	HP1504101T2D	ERX1700912	ERR1630579	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630579/ERR1630579.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_E9	HP1504101T2D	ERX1700913	ERR1630580	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630580/ERR1630580.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F1	HP1504101T2D	ERX1700914	ERR1630581	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630581/ERR1630581.fastq.gz	type II diabetes mellitus	acinar cell
HP1504101T2D_F10	HP1504101T2D	ERX1700915	ERR1630582	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630582/ERR1630582.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_F11	HP1504101T2D	ERX1700916	ERR1630583	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630583/ERR1630583.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F12	HP1504101T2D	ERX1700917	ERR1630584	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/004/ERR1630584/ERR1630584.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_F13	HP1504101T2D	ERX1700918	ERR1630585	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630585/ERR1630585.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F14	HP1504101T2D	ERX1700919	ERR1630586	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630586/ERR1630586.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F15	HP1504101T2D	ERX1700920	ERR1630587	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/007/ERR1630587/ERR1630587.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_F16	HP1504101T2D	ERX1700921	ERR1630588	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630588/ERR1630588.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F17	HP1504101T2D	ERX1700922	ERR1630589	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630589/ERR1630589.fastq.gz	type II diabetes mellitus	delta cell
HP1504101T2D_F18	HP1504101T2D	ERX1700923	ERR1630590	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630590/ERR1630590.fastq.gz	type II diabetes mellitus	PSC cell
HP1504101T2D_F19	HP1504101T2D	ERX1700924	ERR1630591	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630591/ERR1630591.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_F2	HP1504101T2D	ERX1700925	ERR1630592	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630592/ERR1630592.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F20	HP1504101T2D	ERX1700926	ERR1630593	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630593/ERR1630593.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_F22	HP1504101T2D	ERX1700928	ERR1630595	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630595/ERR1630595.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_F3	HP1504101T2D	ERX1700931	ERR1630598	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630598/ERR1630598.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_F6	HP1504101T2D	ERX1700934	ERR1630601	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/001/ERR1630601/ERR1630601.fastq.gz	type II diabetes mellitus	not applicable
HP1504101T2D_F7	HP1504101T2D	ERX1700935	ERR1630602	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630602/ERR1630602.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G1	HP1504101T2D	ERX1700938	ERR1630605	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630605/ERR1630605.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G10	HP1504101T2D	ERX1700939	ERR1630606	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630606/ERR1630606.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G12	HP1504101T2D	ERX1700941	ERR1630608	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630608/ERR1630608.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G14	HP1504101T2D	ERX1700943	ERR1630610	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630610/ERR1630610.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G16	HP1504101T2D	ERX1700945	ERR1630612	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/002/ERR1630612/ERR1630612.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_G17	HP1504101T2D	ERX1700946	ERR1630613	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/003/ERR1630613/ERR1630613.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G19	HP1504101T2D	ERX1700948	ERR1630615	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/005/ERR1630615/ERR1630615.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G2	HP1504101T2D	ERX1700949	ERR1630616	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/006/ERR1630616/ERR1630616.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G21	HP1504101T2D	ERX1700951	ERR1630618	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/008/ERR1630618/ERR1630618.fastq.gz	type II diabetes mellitus	gamma cell
HP1504101T2D_G22	HP1504101T2D	ERX1700952	ERR1630619	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/009/ERR1630619/ERR1630619.fastq.gz	type II diabetes mellitus	alpha cell
HP1504101T2D_G23	HP1504101T2D	ERX1700953	ERR1630620	ftp://ftp.sra.ebi.ac.uk/vol1/fastq/ERR163/000/ERR1630620/ERR1630620.fastq.gz	type II diabetes mellitus	alpha cell
